player_id,total_finishing,total_chance_creation,total_ball_progression,total_dribbling,total_ball_winning,total_defensive_actions,total_passing_accuracy,total_long_passing,total_events,matches_played,player_name,position,season_avg_x,events_per_match,estimated_minutes_per_match,estimated_total_minutes,finishing_per90,chance_creation_per90,ball_progression_per90,dribbling_per90,ball_winning_per90,defensive_actions_per90,passing_accuracy_per90,long_passing_per90,finishing_rating,chance_creation_rating,ball_progression_rating,dribbling_rating,ball_winning_rating,defensive_actions_rating,passing_accuracy_rating,long_passing_rating,overall_rating,within_position_overall
33309,36.9,170.0,898.5,147.0,332.0,369.7,675.7,215.5,4260,31,Anthony Caci,midfielder,-4.444897959183673,137.41935483870967,90.0,2790.0,1.1903225806451612,5.483870967741935,28.983870967741932,4.741935483870968,10.709677419354838,11.925806451612901,21.796774193548387,6.951612903225807,57.4,77.0,90.4,77.0,76.5,93.3,73.7,,80.3,92.8
1012,17.6,23.0,203.5,25.5,201.5,157.4,276.9,42.5,1676,21,Janik Haberer,midfielder,-0.17392097264437706,79.80952380952381,90.0,1890.0,0.8380952380952382,1.0952380952380953,9.69047619047619,1.2142857142857144,9.595238095238095,7.495238095238096,13.185714285714285,2.0238095238095237,41.6,10.5,28.2,5.3,67.4,62.2,41.6,,32.6,27.7
26784,35.5,72.0,608.0,162.0,167.0,174.1,757.6,99.0,3195,20,Josip Stanisic,midfielder,-0.5581789638932497,159.75,90.0,1800.0,1.775,3.6,30.400000000000002,8.1,8.35,8.705,37.88,4.95,74.6,55.7,91.3,97.6,57.4,74.6,92.8,,78.3,89.4
42376,31.0,95.0,269.5,101.5,144.0,80.8,274.5,16.0,1736,30,Brenden Aaronson,midfielder,7.586788021139165,57.86666666666667,90.0,2700.0,1.0333333333333332,3.166666666666667,8.983333333333333,3.3833333333333333,4.800000000000001,2.6933333333333334,9.15,0.5333333333333333,50.7,48.8,25.8,56.0,21.5,7.2,23.4,,32.7,28.2
103995,24.7,62.0,486.0,71.5,205.5,128.9,693.3,135.5,2838,19,Aleksandar Pavlovic,midfielder,-0.3145907473309606,149.3684210526316,90.0,1710.0,1.3,3.263157894736842,25.57894736842105,3.763157894736842,10.81578947368421,6.784210526315789,36.48947368421052,7.131578947368421,60.7,50.2,87.0,62.2,78.0,52.6,91.8,,73.5,84.7
664,63.4,301.0,506.5,94.0,243.0,195.7,510.3,86.5,3257,33,Florian Kainz,midfielder,6.5590965732087225,98.6969696969697,90.0,2970.0,1.9212121212121211,9.121212121212121,15.34848484848485,2.8484848484848486,7.363636363636363,5.93030303030303,15.463636363636363,2.6212121212121215,77.5,91.8,53.6,41.6,45.4,43.0,49.7,,58.9,60.7
66450,4.9,0.0,23.0,6.5,24.5,13.2,72.5,4.0,471,13,Amin Sarr,forward,11.185991379310344,36.23076923076923,90.0,1170.0,0.3769230769230769,0.0,1.7692307692307692,0.5,1.8846153846153846,1.0153846153846153,5.576923076923077,0.3076923076923077,2.3,2.3,1.1,1.1,,,,,2.0,1.1
204,131.7,372.0,608.5,275.0,130.0,105.7,689.3,88.5,3716,27,Leroy Sané,forward,16.257618787547788,137.62962962962962,90.0,2430.0,4.877777777777777,13.777777777777779,22.537037037037035,10.185185185185185,4.814814814814815,3.9148148148148154,25.52962962962963,3.2777777777777777,79.7,96.7,94.4,99.0,,,,,89.4,96.7
10331,52.8,62.0,369.0,96.5,290.5,192.7,597.5,65.5,3018,28,Grischa Prömel,midfielder,2.1614088304684866,107.78571428571429,90.0,2520.0,1.8857142857142857,2.2142857142857144,13.178571428571429,3.4464285714285716,10.375,6.882142857142856,21.33928571428571,2.3392857142857144,77.0,35.9,45.4,57.4,73.7,55.5,72.2,,55.0,52.6
1232,13.5,121.0,409.5,69.0,130.0,141.0,508.5,52.5,2406,23,Philipp Max,midfielder,-1.7371956339210748,104.6086956521739,90.0,2070.0,0.5869565217391304,5.260869565217392,17.804347826086957,3.0,5.6521739130434785,6.130434782608695,22.108695652173914,2.282608695652174,34.4,75.6,65.5,46.4,29.7,45.0,74.6,,59.0,61.2
